Missing_SpeciesID,Similar_Species,Source,Comments
Caenoscelis ferruginea,Atomaria subangulata,FHL,
Caenoscelis ferruginea,Atomaria turgida,FHL,
Caenoscelis ferruginea,Atomaria umbrina,FHL,
Oxypoda mutata,Dexiogyia corticina,FHL,
Oxypoda mutata,Ischnoglossa elegantula,FHL,
Oxypoda mutata,Ischnoglossa obscura,FHL,
Oxypoda mutata,Ischnoglossa prolixa,FHL,
Troglops albicans,Hypebaeus flavipes,FHL,
Ptiliolum caledonicum,Nossidium pilosellum,FHL,
Ptiliolum caledonicum,Ptenidium gressneri,FHL,
Ptiliolum caledonicum,Ptenidium turgidum,FHL,
Colobicus hirtus,Lasconotus jelskii,FHL,
Dissoleucas niveirostris,Rhaphitropis marchica,FHL,
Stephostethus alternans,Latridius assimilis,FHL,
Stephostethus alternans,Latridius gemellatus,FHL,
Stephostethus alternans,Latridius hirtus,FHL,
Stephostethus alternans,Latridius consimilis,FHL,
Stephostethus alternans,Latridius brevicollis,FHL,
Stephostethus alternans,Enicmus brevicornis,FHL,
Stephostethus alternans,Enicmus fungicola,FHL,
Stephostethus alternans,Enicmus planipennis,FHL,
Stephostethus alternans,Enicmus testaceus,FHL,
Stephostethus alternans,Enicmus atriceps,FHL,
Stephostethus alternans,Enicmus rugosus,FHL,
Scaphisoma agaricinum,Scaphisoma boleti,FHL,
Stereocorynes truncorum,Brachytemnus porcatus,FHL,
Phyllodrepoidea crenata,Xylodromus testaceus,FHL,
